,Frequency,MeanAmplitude,Lat,Lon,TransmitterDistance
442,101.7,-27.0,1.385351,103.745053,
443,101.8,-39.0,1.385351,103.745053,
444,102.0,-37.9743589744,1.385351,103.745053,
445,102.1,-39.0,1.385351,103.745053,
446,102.2,-38.0,1.385351,103.745053,
447,102.4,-38.3714285714,1.385351,103.745053,
448,102.6,-40.0,1.385351,103.745053,
449,102.7,-35.0,1.385351,103.745053,
450,103.2,-37.0,1.385351,103.745053,
451,103.3,-40.0,1.385351,103.745053,
452,103.4,-36.0,1.385351,103.745053,
453,103.5,-36.0,1.385351,103.745053,
454,103.6,-37.5,1.385351,103.745053,
455,103.9,-32.0204081633,1.385351,103.745053,
456,104.0,-30.8888888889,1.385351,103.745053,
457,104.4,-35.8909090909,1.385351,103.745053,
458,104.6,-36.0,1.385351,103.745053,
459,104.8,-40.0,1.385351,103.745053,
460,105.0,-29.0363636364,1.385351,103.745053,
461,105.1,-30.5740740741,1.385351,103.745053,
462,105.2,-36.5,1.385351,103.745053,
463,105.4,-38.75,1.385351,103.745053,
464,105.6,-24.56,1.385351,103.745053,
465,105.8,-38.0,1.385351,103.745053,
466,105.9,-38.5,1.385351,103.745053,
467,107.4,-35.5,1.385351,103.745053,
468,107.6,-37.0,1.385351,103.745053,
469,108.0,-30.9215686275,1.385351,103.745053,
470,87.3,-40.0,1.350483,103.872321,
471,89.6,-37.0,1.350483,103.872321,
472,89.8,-14.0,1.350483,103.872321,
473,91.2,-20.5,1.350483,103.872321,
474,91.4,-26.0,1.350483,103.872321,
475,91.9,-24.5,1.350483,103.872321,
476,92.3,-38.5,1.350483,103.872321,
477,93.2,-34.0,1.350483,103.872321,
478,93.7,-39.0,1.350483,103.872321,
479,94.1,-39.0,1.350483,103.872321,
480,94.9,-34.0,1.350483,103.872321,
481,95.7,-27.0,1.350483,103.872321,
482,96.0,-23.0,1.350483,103.872321,
483,96.7,-39.0,1.350483,103.872321,
484,97.9,-29.0,1.350483,103.872321,
485,98.6,-38.0,1.350483,103.872321,
486,99.4,-36.0,1.350483,103.872321,
487,99.6,-17.5,1.350483,103.872321,
488,99.7,-18.5,1.350483,103.872321,
489,99.8,-19.0,1.350483,103.872321,
490,100.0,-28.0,1.350483,103.872321,
491,100.2,-20.5,1.350483,103.872321,
492,100.8,-25.5,1.350483,103.872321,
493,105.0,-37.0,1.350483,103.872321,
494,105.1,-34.5,1.350483,103.872321,
495,105.6,-23.0,1.350483,103.872321,
496,89.6,-33.0,1.371094,103.949197,
497,90.4,-35.0,1.371094,103.949197,
498,91.2,-19.5,1.371094,103.949197,
499,91.4,-23.0,1.371094,103.949197,
500,91.9,-37.5,1.371094,103.949197,
501,92.3,-29.0,1.371094,103.949197,
502,95.7,-39.0,1.371094,103.949197,
503,96.0,-23.3333333333,1.371094,103.949197,
504,99.4,-39.5,1.371094,103.949197,
505,99.6,-24.0,1.371094,103.949197,
506,99.7,-24.0,1.371094,103.949197,
507,99.8,-24.0,1.371094,103.949197,
508,100.0,-32.5,1.371094,103.949197,
509,100.2,-27.5,1.371094,103.949197,
510,100.8,-27.0,1.371094,103.949197,
511,104.0,-36.5,1.371094,103.949197,
512,104.4,-37.0,1.371094,103.949197,
513,105.0,-35.0,1.371094,103.949197,
514,105.1,-20.5,1.371094,103.949197,
515,105.6,-37.5,1.371094,103.949197,
516,108.0,-34.0,1.371094,103.949197,
